NGÀY,GIÁ MỞ CỬA,GIÁ CAO NHẤT,GIÁ THẤP NHẤT,GIÁ ĐÓNG CỬA,THAY ĐỔI GIÁ,% THAY ĐỔI,KHỐI LƯỢNG
26/01/2024,27880.925823977792,28105.409928840738,27521.75125619708,28060.513107868148,-100,-0.0015974440894568342,69200
25/01/2024,28150.306749813328,28150.306749813328,27880.925823977792,28105.409928840738,500,0.008051529790660261,7100
24/01/2024,28150.306749813328,28150.306749813328,27880.925823977792,27880.925823977792,-600,-0.009569377990430672,7800
23/01/2024,27342.163972306724,28284.997212731094,27342.163972306724,28150.306749813328,-600,-0.009478672985781977,66300
22/01/2024,28733.965422456986,28733.965422456986,26938.09258355342,28419.68767564886,-500,-0.00783699059561127,15500
19/01/2024,28464.58449662145,28823.759064402162,27925.82264495038,28644.171780511806,0,0,35900
18/01/2024,27925.82264495038,28868.655885374752,27836.029003005202,28644.171780511806,900,0.014308426073131875,46700
17/01/2024,28284.997212731094,28464.58449662145,27970.71946592297,28240.100391758504,-100,-0.0015873015873015817,5400
16/01/2024,28060.513107868148,28464.58449662145,28060.513107868148,28284.997212731094,400,0.006389776357827559,66000
15/01/2024,27836.029003005202,28240.100391758504,27521.75125619708,28105.409928840738,1000,0.016233766233766156,21500
12/01/2024,28150.306749813328,28150.306749813328,27566.64807716967,27656.441719114846,-800,-0.012820512820512775,27000
11/01/2024,27791.132182032616,28284.997212731094,27476.85443522449,28015.616286895558,600,0.009708737864077666,106400
10/01/2024,27521.75125619708,27836.029003005202,27027.8862254986,27746.235361060026,500,0.00815660685154973,33600
09/01/2024,27387.060793279314,28015.616286895558,27027.8862254986,27521.75125619708,-200,-0.003252032520325243,35400
08/01/2024,27072.78304647119,27611.54489814226,27072.78304647119,27611.54489814226,500,0.008196721311475308,13600
05/01/2024,27656.441719114846,27656.441719114846,26938.09258355342,27387.060793279314,-400,-0.006514657980456029,43800
04/01/2024,26938.09258355342,27746.235361060026,26938.09258355342,27566.64807716967,2200,0.03716216216216206,56200
03/01/2024,25546.291133403163,27162.576688416368,25501.394312430573,26578.91801577271,2200,0.03859649122807007,130500
02/01/2024,25456.497491457983,25770.77523826611,25366.703849512807,25591.187954375753,400,0.007067137809187329,12300
29/12/2023,25142.21974464986,25411.600670485397,25142.21974464986,25411.600670485397,600,0.010714285714285676,4200
28/12/2023,25142.21974464986,25366.703849512807,25097.32292367727,25142.21974464986,100,0.0017889087656528524,7300
27/12/2023,25232.01338659504,25456.497491457983,25097.32292367727,25097.32292367727,-800,-0.014109347442680775,9400
26/12/2023,25501.394312430573,25501.394312430573,25142.21974464986,25456.497491457983,-300,-0.0052631578947368585,25800
25/12/2023,25591.187954375753,25591.187954375753,25097.32292367727,25591.187954375753,0,0,16300
22/12/2023,25276.910207567627,25591.187954375753,25232.01338659504,25591.187954375753,500,0.008849557522123908,14600
21/12/2023,25591.187954375753,25591.187954375753,25097.32292367727,25366.703849512807,-700,-0.012237762237762184,26000
20/12/2023,25321.807028540217,25680.98159632093,25142.21974464986,25680.98159632093,200,0.0035087719298245723,15800
19/12/2023,25591.187954375753,25591.187954375753,25321.807028540217,25591.187954375753,0,0,1100
18/12/2023,25950.362522156465,25950.362522156465,25591.187954375753,25591.187954375753,-900,-0.015544041450777257,9300
15/12/2023,26040.15616410164,26040.15616410164,25770.77523826611,25995.25934312905,400,0.006956521739130528,16100
14/12/2023,25366.703849512807,26040.15616410164,25366.703849512807,25815.672059238696,1000,0.017699115044247815,30800
13/12/2023,24783.04517686915,25636.08477534834,24783.04517686915,25366.703849512807,1000,0.018018018018018056,41000
12/12/2023,24693.25153492397,24917.735639786915,24693.25153492397,24917.735639786915,300,0.005434782608695565,17400
11/12/2023,25097.32292367727,25097.32292367727,24603.457892978793,24783.04517686915,0,0,4500
08/12/2023,24783.04517686915,24783.04517686915,24468.767430061027,24783.04517686915,0,0,6300
07/12/2023,24648.354713951383,25097.32292367727,24648.354713951383,24783.04517686915,0,0,29200
06/12/2023,24693.25153492397,24783.04517686915,24648.354713951383,24783.04517686915,200,0.0036363636363636598,26600
05/12/2023,24783.04517686915,24783.04517686915,24513.664251033613,24693.25153492397,-300,-0.005424954792043413,10200
04/12/2023,24558.561072006203,24917.735639786915,24423.870609088437,24827.94199784174,500,0.009124087591240837,24800
01/12/2023,24693.25153492397,24693.25153492397,24468.767430061027,24603.457892978793,0,0,9000
30/11/2023,24693.25153492397,25052.426102704685,24513.664251033613,24603.457892978793,-300,-0.005444646098003658,7600
29/11/2023,24738.14835589656,24917.735639786915,24199.38650422549,24738.14835589656,300,0.005474452554744547,3100
28/11/2023,24693.25153492397,24962.632460759505,23391.24372671889,24603.457892978793,-200,-0.0036363636363636598,36600
27/11/2023,24783.04517686915,25187.11656562245,24693.25153492397,24693.25153492397,-200,-0.0036231884057971175,18000
24/11/2023,25187.11656562245,25187.11656562245,24783.04517686915,24783.04517686915,-700,-0.012522361359570633,3900
23/11/2023,24738.14835589656,25366.703849512807,24738.14835589656,25097.32292367727,600,0.010849909584086825,32300
22/11/2023,24917.735639786915,24962.632460759505,24693.25153492397,24827.94199784174,-100,-0.0018050541516245744,24300
21/11/2023,25097.32292367727,25097.32292367727,24827.94199784174,24872.838818814325,-200,-0.003597122302158251,12000
20/11/2023,25187.11656562245,25187.11656562245,24962.632460759505,24962.632460759505,-600,-0.010676156583629859,6200
